quadweek,year_week,basket,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1131,1,100,2395.82,251.61,,,66.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,-0.81635,8.28,1862.33,92.00%
16,2026-12,1133,11,234.5,5412.555,358.2128998,1,30.19,60.35592751,4,4,,,,,1.71%,1.71%,,,,,376.25,376.25,,,,,235.44,235.44,,,,,58.86,58.86,,,,,135.8,135.8,,,,,0.579104478,0.579104478,,,,,0.025,0.025089814,,,,,39.48,39.48,,,,,9.87,9.87,,,,,33.95,33.95,,,,,1,1,3,-0.810835092,4.911151386,1847.952836,86.23%
16,2026-12,1134,178,515.5,12457.423,324.1101329,10,287.16,63.31955383,24,4,10,10,,,4.66%,0.78%,0.019398642,0.019398642,,,173.8333333,127,268.9,97.5,,,1464.42,208.32,612.16,643.94,,,61.0175,52.08,61.216,64.394,,,763.7,94.56,289.48,379.66,,,1.481474297,0.18343356,0.561551891,0.736488846,,,0.061,0.007590655,0.023237551,0.030476608,,,151.76,-5.38,31.08,126.06,,,6.323333333,-1.345,3.108,12.606,,,31.82083333,23.64,28.948,37.966,,,1,1,3,-0.71716871,5.045926285,1495.351843,96.42%
16,2026-12,1135,241,242.5,5684.395,588.3448454,4,121.85,68.34808247,6,3,2,1,,,2.47%,1.24%,0.008247423,0.004123711,,,451.3333333,302,252.5,1297,,,359.72,188.92,104.8,66,,,59.95333333,62.97333333,52.4,66,,,173.1,82.04,52.91,38.15,,,0.713814433,0.338309278,0.218185567,0.157319588,,,0.030,0.014432495,0.009307939,0.006711356,,,27.71,7.74,4.98,14.99,,,4.618333333,2.58,2.49,14.99,,,28.85,27.34666667,26.455,38.15,,,1,1,3,-0.584846202,4.602886598,1143.573196,98.02%
16,2026-12,1142,2,117.5,2698.205,265.3670085,6,142.42,68.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.635423906,12.64374468,1376.301106,78.22%
16,2026-12,1143,15,293.5,6988.155,323.2260477,1,29.47,75.82274276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.709773782,15.42713799,1725.836337,91.34%
16,2026-12,1144,173,493.75,12512.193,346.6204678,3,79.73,84.80380759,7,6,1,,,,1.42%,1.22%,0.002025316,,,,384.5714286,406.5,253,,,,414.26,347.26,67,,,,59.18,57.87666667,67,,,,237.64,196.14,41.5,,,,0.481296203,0.39724557,0.084050633,,,,0.019,0.015675909,0.003316765,,,,60.05,43.4,16.65,,,,8.578571429,7.233333333,16.65,,,,33.94857143,32.69,41.5,,,,1,1,4,-0.642323479,15.19371646,1707.408051,99.23%
16,2026-12,1145,13,13,267.53,1675.730769,,,91.88692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,-0.582048692,12.17538462,2057.769231,100.00%
16,2026-12,1152,1,69,1684.663,230.037,1,24.34,104.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,-0.70309,41.89,2211.42,100.00%
16,2026-12,1153,7,122.25,5284.008,477.6511391,1,24.07,143.905501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,-0.593270364,50.60584867,2159.447546,94.99%
