quadweek,year_week,basket,product BS,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
18,2026-20,1111,BasketDiscountInMarket,5,679.143,16176.495,279.5190867,6,135.16,46.70169066,21,15,,,,6,3.09%,2.21%,,,,0.008834664,299.2857143,327.8666667,,,,227.8333333,986.6,727.4,,,,259.2,46.98095238,48.49333333,,,,43.2,525.78,402.14,,,,123.64,0.774181579,0.592128609,,,,0.18205297,0.033,0.024859526,,,,0.007643188,23.52,42.78,,,,-19.26,1.12,2.852,,,,-3.21,25.03714286,26.80933333,,,,20.60666667,1,1,1,-0.818817685,-7.24516015,1207.754891,69.59%
18,2026-20,1111,BasketDiscountOutOfMarketByMinPrice,21,2952.143,69962.749,319.5671516,20,485.88,37.22868417,36,1,,,35,,1.22%,0.03%,,,0.011855794,,341.3888667,9,,,350.8856914,,1235.67,34.79,,,1200.88,,34.32416667,34.79,,,34.31085714,,387.04,10.97,,,376.07,,0.13110476,0.003715945,,,0.127388816,,0.006,0.000156798,,,0.005375289,,-450.4,-13.45,,,-436.95,,-12.51111111,-13.45,,,-12.48428571,,10.75111111,10.97,,,10.74485714,,1,1,1,-0.87484961,-13.48792075,1245.852543,81.53%
